"","CSTbjuv.a","CSTbjuv.b","CSTegg1","CSTegg2","CSTlarv","CSTpjuv","DDegg1","DDegg2","DDlarv","DDpjuv","DDpre","LSTbjuv.a","LSTbjuv.b","LSTegg","LSTegg2","LSTlarv","LSTpjuv","MLDegg","Tpre.a","Tpre.b"
"DDpre",0.283820109814769,0.405891186134766,0.0384137202117525,-0.546084174614911,0.310028298369197,0.412258745265177,0.391701409702005,0.344549501218547,0.184497324351666,0.160966501289939,1,-0.356444625659145,-0.427354083974942,-0.0410891893183623,0.337671675469681,0.0569922853151184,-0.107546902885796,0.13321059798209,0.190218992583374,0.291370748209702
"LSTbjuv.a",-0.977388457044815,-0.92841561206839,-0.10560727684363,0.3978752254936,0.283027882862275,0.267273341313679,-0.103784382005862,-0.327683971639826,-0.201369739936537,-0.212077901930568,-0.356444625659145,1,0.921299344504599,0.259820207723979,-0.476464988034645,0.533202868872689,-0.0846180427649392,0.558540209845838,-0.338495148252667,-0.308591584015004
"LSTbjuv.b",-0.857791109224923,-0.95947308675522,0.0447477987092039,0.347187367243118,0.151599751500616,0.147067764345264,-0.18305033127751,-0.442352341756666,-0.177491126027967,-0.268293758416398,-0.427354083974942,0.921299344504599,1,0.052520647920715,-0.331833968536494,0.32720209443721,-0.145394206297895,0.536305937874944,-0.431512853599776,-0.409611105723321
"LSTegg",-0.368345852009933,-0.191077641679211,-0.714803365575436,0.56374719891985,0.315248269341158,0.252900881059574,0.32145447292977,0.568339749984881,-0.00591410621003114,0.212656255647054,-0.0410891893183623,0.259820207723979,0.052520647920715,1,-0.765094147862985,0.486911707840981,-0.163557621266889,0.100907645382627,0.605505123223805,0.602513718382144
"LSTegg2",0.551170655718271,0.471118544852931,0.702321029106123,-0.731521375220281,-0.295791931148737,-0.161805444797784,-0.253924198920611,-0.377915658161752,-0.0799356745975098,-0.193927823498135,0.337671675469681,-0.476464988034645,-0.331833968536494,-0.765094147862985,1,-0.450299334862625,0.222148616096303,-0.198138772154513,-0.457894282011066,-0.427575455232878
"LSTlarv",-0.625715811700584,-0.472488878776836,-0.463396743031503,0.0822425580084119,0.622194504420572,0.573082287448764,0.139031042938522,0.0567525713118168,0.00327224698200828,0.00601484878406282,0.0569922853151184,0.533202868872689,0.32720209443721,0.486911707840981,-0.450299334862625,1,0.209901681807277,0.419129201448218,-0.0320954758804735,0.0146000144719793
"LSTpjuv",0.0937347391326733,0.110570406894226,0.128620221019593,-0.0192698805109486,-0.348225779612694,-0.270135844334039,-0.491506304844773,-0.351112654581024,-0.41260473561844,-0.282569645050002,-0.107546902885796,-0.0846180427649392,-0.145394206297895,-0.163557621266889,0.222148616096303,0.209901681807277,1,-0.30530368705161,-0.285880592672548,-0.358340350308354
"MLDegg",-0.576579525756625,-0.528139473818021,-0.0969609776429431,-0.0550836517919118,0.537370332208394,0.423704942447021,0.36180601476527,-0.0113058141405406,0.107189133302789,-0.0494020056620072,0.13321059798209,0.558540209845838,0.536305937874944,0.100907645382627,-0.198138772154513,0.419129201448218,-0.30530368705161,1,-0.161522862227291,-0.0375199204029418
"Tpre.a",0.224824860628559,0.305063186838497,-0.619869585941333,0.256204847714858,0.202848023270194,0.0644230185835359,0.617792744349052,0.946178439565375,0.361567316288198,0.483452684294392,0.190218992583374,-0.338495148252667,-0.431512853599776,0.605505123223805,-0.457894282011066,-0.0320954758804735,-0.285880592672548,-0.161522862227291,1,0.982898894443849
"Tpre.b",0.186995671613513,0.289773280857948,-0.636748832348579,0.155821968833981,0.31985221825978,0.159012942987802,0.73081538940743,0.981527743925434,0.439734946426405,0.54044670567714,0.291370748209702,-0.308591584015004,-0.409611105723321,0.602513718382144,-0.427575455232878,0.0146000144719793,-0.358340350308354,-0.0375199204029418,0.982898894443849,1
