"year","DDpre","Tpre.a","Tpre.b","MLDegg","LSTegg","CSTegg1","DDegg1","CSTegg2","LSTegg2","DDegg2","LSTlarv","CSTlarv","DDlarv","LSTpjuv","CSTpjuv","DDpjuv","LSTbjuv.a","CSTbjuv.a","LSTbjuv.b","CSTbjuv.b"
1993,246.885,6.11228947368421,6.58084210526316,39.5545652173913,0.0307667608695652,3.277e-05,245.819,-0.0109401086956522,0.00046520652173913,152.642,0.0361792357777778,0.0157583777777778,323.562,-0.012252135483871,0.0108129677419355,191.615,0.00497285740740741,0.00358666611111111,0.0118146111111111,-0.00157642962962963
1994,230.123,6.28002702702703,6.68508108108108,41.1282222222222,0.0570994,-0.000990952666666667,239.242,0.0260451666666667,-0.00141908964444444,151.662,0.0175239565217391,0.00957076086956522,322.244,-0.00829300666666667,0.00264646333333333,187.598,0.00635651648148148,0.00432961666666667,0.016973972962963,-0.00223628483333333
1995,221.323,6.43378947368421,6.91528947368421,45.3897777777778,0.0692735155555556,-0.00265162444444444,251.988,0.00469493333333333,-0.00136373711111111,162.635,0.0377091086956522,0.0201465869565217,313.32,-0.0369443666666667,0.00705451,174.389,-0.00203041886792453,0.00547164773584906,0.011202679245283,-0.00178857358490566
1996,220.372,6.06834210526316,6.47592105263158,38.0810869565217,0.0240359347826087,-0.00214911869565217,250.127,-0.000834413043478261,-0.000730166304347826,146.663,0.0451054937777778,0.0173571333333333,360.23,-0.00171012903225806,0.00301984838709677,197.498,0.00752498703703704,0.00341776111111111,0.0144740240740741,-0.00199051666666667
1997,220.845,6.20494594594595,6.57916216216216,37.072,0.0216993111111111,-0.00118563844444444,230.397,0.0161832555555556,-0.00134689111111111,146.183,0.0309378608695652,0.0109773934782609,318.592,0.0069378,0.00405284333333333,191.834,0.00751068518518518,0.00242629444444444,0.0192329944444444,-0.00371894759259259
1998,255.921,6.50955263157895,7.12921052631579,55.7397777777778,0.0414681777777778,-0.00177778,303.633,0.000753244444444444,-0.000917245622222222,176.569,0.0137240434782609,0.017772937826087,376.39,-0.0670187,0.00323505,207.37,0.00537564150943396,0.0037681620754717,0.0169142037735849,-0.00233918867924528
1999,235.548,5.86534210526316,6.24092105263158,46.2802222222222,-0.000605555555555555,-0.00152406888888889,216.413,-0.00603983333333333,3.25133333333333e-05,132.188,0.0186052004444444,0.0128990062222222,293.095,0.0110219032258065,0.00479758064516129,167.059,0.00708505660377359,0.00402863962264151,0.0179284320754717,-0.00208224113207547
2000,198.457,6.09989473684211,6.493,44.8708695652174,0.0129109130434783,-0.000308766304347826,236.222,0.00261941304347826,-0.000369045217391304,146.174,0.0307951086956522,0.010251797826087,324.154,0.00209243333333333,0.000796474666666667,175.238,0.00706492592592593,0.00324104259259259,0.0181896296296296,-0.00255372407407407
2001,211.698,6.13094736842105,6.47663157894737,37.0684444444444,0.0263187133333333,-0.000699204444444444,212.9,0.0121844577777778,-0.000835067777777778,140.432,0.0172524891304348,0.00425288260869565,291.57,0.00230588666666667,0.00020023,160.256,0.00533201886792453,0.00462629622641509,0.0209966603773585,-0.00316618301886792
2002,179.297,5.73365789473684,6.06718421052632,40.8675555555556,0.0418232133333333,-0.000759045555555556,204.601,0.0243300222222222,-0.00152474355555556,125.915,0.00864744444444445,0.00177294,293.142,-0.0347180322580645,-0.00300827419354839,169.392,0.0286443528301887,-0.00188003962264151,0.043617320754717,-0.00565897169811321
2003,189.515,6.06573684210526,6.47334210526316,44.1560869565217,0.0140323260869565,-0.00145399913043478,249.615,0.00755134130434783,-0.000995941195652174,144.429,0.0161814288888889,0.0177882244444444,354.24,-0.0270318612903226,0.0042291,198.134,0.0168836111111111,0.000706955555555556,0.0249293388888889,-0.00348273888888889
2004,196.725,5.84673684210526,6.22718421052632,42.5004444444444,0.0157295555555556,-0.000403319777777778,233.528,0.00879782222222222,-0.000530411333333333,133.187,0.016710152173913,0.00979336956521739,334.205,-0.0124868,0.00157210333333333,196.834,0.00976321037735849,0.00263111320754717,0.0175051641509434,-0.00242966547169811
2005,218.505,6.18581578947368,6.62228947368421,41.8755555555556,0.0636797222222222,-0.00179997111111111,248.372,0.0179546,-0.00131787555555556,151.001,0.0180038911111111,0.00801608444444444,327.299,-0.000230838709677419,0.00600973870967742,203.486,0.00528275471698113,0.00320620686792453,0.0132786037735849,-0.00189511886792453
2006,231.307,5.71213157894737,6.15192105263158,48.0769565217391,-0.00144773913043478,-0.000807617391304348,243.692,-0.0157014086956522,-4.65021739130435e-05,135.294,0.0345276444444444,0.0137698755555556,336.348,0.0159854838709677,0.000179777096774193,201.792,0.00517399259259259,0.00411536481481482,0.0172357,-0.00193339796296296
2007,214.255,6.17843243243243,6.58135135135135,45.0651111111111,0.0176383777777778,2.22222222222224e-07,233.087,0.0203658222222222,-0.00146382888888889,145.231,0.00661558695652174,0.0071655152173913,300.129,-0.0127622,0.00089056,174.401,0.0222087148148148,-0.00121563333333333,0.0303246759259259,-0.00444613333333333
2008,210.412,5.85126315789474,6.21923684210526,47.0608888888889,0.0190845155555556,0.000724359111111111,208.502,0.00981462,-9.97666666666667e-05,129.162,0.00822010869565217,0.00404402608695652,270.312,-0.0189501870967742,-0.000216844838709677,160.999,0.0311823075471698,-0.00252294339622642,0.0471657169811321,-0.00537569433962264
2009,173.22,6.02847368421053,6.37973684210526,43.089347826087,0.036068347826087,-0.00070986347826087,217.258,0.0283306652173913,-0.00116853152173913,137.959,0.0144596444444444,-0.00320046222222222,290.868,0.0122481612903226,-0.00676546451612903,168.263,0.0173967592592593,0.000702993333333333,0.02755915,-0.00349803574074074
2010,193.441,5.88116216216216,6.31102702702703,50.4704444444444,0.0093982,-0.00199969777777778,240.01,0.00182986666666667,-0.00159378155555556,137.108,0.0392705413043478,0.0192795434782609,317.387,-0.0200745366666667,0.0044069,177.627,0.0327625777777778,-0.00311104814814815,0.0421212777777778,-0.00496012962962963
2011,176.368,5.90988834951456,6.28445242718447,30.2733233082707,0.00892610526315789,0.00816952030075188,671.9758,0.00514597744360902,0.00327082640601504,403.7304,0.0357385987261147,0.00844222929936306,882.2249,0.0117047540983607,0.00270696721311475,878.2242,0.0245182710280374,-0.00225102803738318,0.0726835981308411,-0.0118228504672897
2012,1711.771,6.17028881578947,6.31693947368421,29.2211483516484,-0.00219791208791209,0.0894103296703297,788.5289,-0.00505675824175824,0.105252252747253,538.1025,0.0110094535519126,0.00349546448087432,1124.4147,0.0136572950819672,0.000509836065573771,790.9399,0.0472639252336449,-0.0111220093457944,0.0913045794392523,-0.0158107476635514
2013,1629.7484,6.22739536423841,6.4219821192053,34.2921933701657,-0.000892872928176796,0.0786718784530387,838.2362,-0.00489082872928177,0.103466906077348,528.9601,-0.00372368131868132,0.00201538461538462,1219.3647,-0.0199152459016393,-0.00163360655737705,854.1458,0.0449564953271028,-0.0101532242990654,0.0923949065420561,-0.0167181308411215
2014,1771.3216,6.42053046357616,6.58849735099338,29.386635359116,-0.00175309392265193,0.0971325966850829,800.7208,-0.00568674033149171,0.110647900552486,563.983,-0.00319967032967033,0.000933901098901099,1237.2018,-0.0230450819672131,-0.00349303278688525,919.9412,0.0302763551401869,-0.00412093457943925,0.0517517757009346,-0.00765285046728972
2015,1873.789,6.02113509933775,6.31149867549669,30.6549779005525,-0.000857955801104972,0.0476629834254144,935.3308,-0.00219707182320442,0.060311270718232,527.0074,0.00131824175824176,0.0039971978021978,1530.016,-0.0161545901639344,-0.00377311475409836,1046.145,0.0701201869158879,-0.0180714485981308,0.111117897196262,-0.0200039719626168
2016,1849.344,6.25321776315789,6.47510460526316,23.654978021978,-0.00283478021978022,0.12379467032967,897.9151,-0.00666054945054945,0.136840604395604,539.7523,0.020787650273224,0.0120654098360656,1454.599,-0.0400964754098361,-0.000388360655737705,950.181,0.0441401869158878,-0.00882224299065421,0.0748757476635514,-0.0124891588785047
2017,1785.85,6.07848874172185,6.24478741721854,28.1942320441989,-0.00129154696132597,0.10560955801105,860.0463,-0.00428718232044199,0.110674364640884,511.5242,0.0273704395604396,0.00721741758241758,1376.508,0.00581254098360656,0.00448245901639344,859.5108,0.0351388785046729,-0.00709453271028037,0.0618635981308411,-0.00964757009345794
2018,1722.759,6.42245298013245,6.60109139072848,22.1975027624309,-0.00134149171270718,0.114360055248619,861.193,-0.00471745856353591,0.119261878453039,578.7026,0.00695956043956044,0.00601967032967033,1323.7457,-0.0160986885245902,0.00106581967213115,811.4677,0.0365144859813084,-0.00637257009345794,0.0597669626168224,-0.00951261682242991
2019,1732.196,6.59137947019868,6.84585364238411,27.2046187845304,-0.00104254143646409,0.0753244751381215,904.2036,-0.00189972375690608,0.0557126519337017,620.1799,-0.00199208791208791,0.00523065934065934,1349.256,-0.0218877868852459,-0.00358581967213115,864.406,0.020508691588785,-0.00096303738317757,0.0369209813084112,-0.00438495327102804
2020,1824.69,6.4226375,6.62411513157895,26.9891703296703,-0.000988516483516483,0.0890091758241758,848.6677,-0.00326565934065934,0.0852852197802198,583.583,-0.00655327868852459,0.0036644262295082,1247.3631,-0.0236848360655738,-0.00334754098360656,781.038,0.031409953271028,-0.00593406542056075,0.048479953271028,-0.00734514018691589
2021,1732.714,6.0948701986755,6.32108609271523,24.8851878453039,-0.000285303867403315,0.0480600552486188,798.8004,-0.00225325966850829,0.0578385635359116,528.4881,-0.0140593956043956,0.00135868131868132,1235.6963,-0.0136046721311475,-0.00282540983606557,798.0282,0.0189589252336449,-0.000673598130841121,0.0427491588785047,-0.00561205607476636
2022,1621.178,6.05893443708609,6.28777284768212,27.1041602209945,-0.00307480662983425,0.0795603314917127,841.0933,-0.00466779005524862,0.102112651933702,530.1514,-0.00395263736263736,-0.00171873626373626,1226.9662,-0.0245596721311475,-0.000488852459016393,745.924,0.0387473658536585,-0.00756073170731707,0.0518584390243902,-0.00773746341463415
